"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/30/2024","12/30/2024","12/31/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432
Recurring","Buy","0.113843","$87.84","($10.00)"
"12/30/2024","12/30/2024","12/31/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.55216","$543.32","($300.00)"
"12/30/2024","12/30/2024","12/31/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.164298","$60.86","($10.00)"
"12/30/2024","12/30/2024","12/31/2024","","ACH Deposit","ACH","","","$310.00"
"12/27/2024","12/27/2024","12/27/2024","NVDA","Cash Div: R/D 2024-12-05 P/D 2024-12-27 - 30 shares at 0.01","CDIV","","","$0.30"
"12/27/2024","12/27/2024","12/27/2024","QQQM","Cash Div: R/D 2024-12-23 P/D 2024-12-27 - 115.112329 shares at 0.31031","CDIV","","","$35.72"
"12/27/2024","12/27/2024","12/27/2024","META","Cash Div: R/D 2024-12-16 P/D 2024-12-27 - 3 shares at 0.5","CDIV","","","$1.50"
"12/27/2024","12/27/2024","12/30/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432
Recurring","Buy","0.114708","$87.18","($10.00)"
"12/27/2024","12/27/2024","12/30/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.164717","$60.71","($10.00)"
"12/27/2024","12/27/2024","12/30/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$546.01","($273.01)"
"12/27/2024","12/27/2024","12/30/2024","","ACH Deposit","ACH","","","$10.00"
"12/27/2024","12/27/2024","12/30/2024","","ACH Deposit","ACH","","","$1,000.00"
"12/26/2024","12/26/2024","12/26/2024","VOO","Cash Div: R/D 2024-12-23 P/D 2024-12-26 - 61.442216 shares at 1.7385","CDIV","","","$106.82"
"12/26/2024","12/26/2024","12/27/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432
Recurring","Buy","0.113884","$87.81","($10.00)"
"12/26/2024","12/26/2024","12/27/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.37426","$218.30","($300.00)"
"12/26/2024","12/26/2024","12/27/2024","","ACH Deposit","ACH","","","$300.00"
"12/26/2024","12/26/2024","12/27/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.1","$393.18","($39.32)"
"12/24/2024","12/24/2024","12/24/2024","SMH","Cash Div: R/D 2024-12-23 P/D 2024-12-24 - 2.7 shares at 1.0713","CDIV","","","$2.89"
"12/24/2024","12/24/2024","12/26/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.4","$551.48","($220.59)"
"12/23/2024","12/23/2024","12/23/2024","TLT","Cash Div: R/D 2024-12-18 P/D 2024-12-23 - 12.198668 shares at 0.351032","CDIV","","","$4.28"
"12/23/2024","12/23/2024","12/24/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.458018","$545.83","($250.00)"
"12/23/2024","12/23/2024","12/24/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.484183","$61.96","($30.00)"
"12/23/2024","12/23/2024","12/24/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$214.95","($214.95)"
"12/23/2024","12/23/2024","12/24/2024","","ACH Deposit","ACH","","","$280.00"
"12/20/2024","12/20/2024","12/23/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.494401","$60.68","($30.00)"
"12/20/2024","12/20/2024","12/23/2024","","ACH Deposit","ACH","","","$30.00"
"12/20/2024","12/20/2024","12/23/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","1","$88.67","($88.67)"
"12/20/2024","12/20/2024","12/23/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","1","$542.89","($542.89)"
"12/20/2024","12/20/2024","12/23/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$213.14","($213.14)"
"12/20/2024","12/20/2024","12/23/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.4","$388.09","($155.24)"
"12/19/2024","12/19/2024","12/20/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.496672","$60.40","($30.00)"
"12/19/2024","12/19/2024","12/20/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.173438","$213.05","($250.00)"
"12/19/2024","12/19/2024","12/20/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.4","$388.56","($155.43)"
"12/19/2024","12/19/2024","12/20/2024","","ACH Deposit","ACH","","","$280.00"
"12/19/2024","12/19/2024","12/20/2024","","ACH Deposit","ACH","","","$1,000.00"
"12/19/2024","12/19/2024","12/20/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.5","$389.34","($194.67)"
"12/19/2024","12/19/2024","12/20/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","2","$213.79","($427.58)"
"12/19/2024","12/19/2024","12/20/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","1","$542.42","($542.43)"
"12/18/2024","12/18/2024","12/19/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$552.07","($276.04)"
"12/18/2024","12/18/2024","12/19/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.476568","$62.95","($30.00)"
"12/18/2024","12/18/2024","12/19/2024","","ACH Deposit","ACH","","","$30.00"
"12/18/2024","12/18/2024","12/19/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","1","$89.98","($89.98)"
"12/18/2024","12/18/2024","12/19/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.1","$407.12","($40.71)"
"12/18/2024","12/18/2024","12/19/2024","UBER","Uber
CUSIP: 90353T100","Buy","0.5","$63.38","($31.69)"
"12/17/2024","12/17/2024","12/18/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.497636","$60.28","($30.00)"
"12/17/2024","12/17/2024","12/18/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.1","$407.20","($40.72)"
"12/17/2024","12/17/2024","12/18/2024","","ACH Deposit","ACH","","","$30.00"
"12/17/2024","12/17/2024","12/18/2024","UBER","Uber
CUSIP: 90353T100","Buy","0.5","$60.02","($30.01)"
"12/17/2024","12/17/2024","12/18/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.4","$127.87","($51.15)"
"12/17/2024","12/17/2024","12/18/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$554.66","($277.33)"
"12/16/2024","12/16/2024","12/16/2024","MCD","Cash Div: R/D 2024-12-02 P/D 2024-12-16 - 5.9 shares at 1.77","CDIV","","","$10.44"
"12/16/2024","12/16/2024","12/16/2024","GOOGL","Cash Div: R/D 2024-12-09 P/D 2024-12-16 - 10 shares at 0.2","CDIV","","","$2.00"
"12/16/2024","12/16/2024","12/17/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.447605","$558.53","($250.00)"
"12/16/2024","12/16/2024","12/17/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.497141","$60.34","($30.00)"
"12/16/2024","12/16/2024","12/17/2024","","ACH Deposit","ACH","","","$280.00"
"12/16/2024","12/16/2024","12/17/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.1","$415.21","($41.52)"
"12/13/2024","12/13/2024","12/16/2024","UBER","Uber
CUSIP: 90353T100","Buy","1","$60.00","($60.00)"
"12/13/2024","12/13/2024","12/16/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.490932","$61.11","($30.00)"
"12/13/2024","12/13/2024","12/16/2024","","ACH Deposit","ACH","","","$30.00"
"12/13/2024","12/13/2024","12/16/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$555.02","($277.51)"
"12/13/2024","12/13/2024","12/16/2024","","ACH Deposit","ACH","","","$2,000.00"
"12/12/2024","12/12/2024","12/12/2024","MSFT","Cash Div: R/D 2024-11-21 P/D 2024-12-12 - 4.7 shares at 0.83","CDIV","","","$3.90"
"12/12/2024","12/12/2024","12/12/2024","HD","Cash Div: R/D 2024-11-27 P/D 2024-12-12 - 3.5 shares at 2.25","CDIV","","","$7.88"
"12/12/2024","12/12/2024","12/13/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.1","$414.16","($41.42)"
"12/12/2024","12/12/2024","12/13/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.149136","$217.55","($250.00)"
"12/12/2024","12/12/2024","12/13/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.481025","$62.37","($30.00)"
"12/12/2024","12/12/2024","12/13/2024","","ACH Deposit","ACH","","","$280.00"
"12/11/2024","12/11/2024","12/12/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.496374","$60.44","($30.00)"
"12/11/2024","12/11/2024","12/12/2024","","ACH Deposit","ACH","","","$30.00"
"12/11/2024","12/11/2024","12/12/2024","UBER","Uber
CUSIP: 90353T100","Buy","1","$62.02","($62.02)"
"12/10/2024","12/10/2024","12/11/2024","UBER","Uber
CUSIP: 90353T100
Recurring","Buy","0.462338","$64.89","($30.00)"
"12/10/2024","12/10/2024","12/11/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$555.64","($277.82)"
"12/10/2024","12/10/2024","12/11/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.2","$241.08","($48.22)"
"12/10/2024","12/10/2024","12/11/2024","","ACH Deposit","ACH","","","$30.00"
"12/9/2024","12/9/2024","12/10/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.448674","$557.20","($250.00)"
"12/9/2024","12/9/2024","12/10/2024","","ACH Deposit","ACH","","","$250.00"
"12/9/2024","12/9/2024","12/10/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$215.21","($215.21)"
"12/9/2024","12/9/2024","12/10/2024","UBER","Uber
CUSIP: 90353T100","Buy","1","$65.60","($65.60)"
"12/6/2024","12/6/2024","12/9/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$558.31","($279.16)"
"12/5/2024","12/5/2024","12/5/2024","TLT","Cash Div: R/D 2024-12-02 P/D 2024-12-05 - 12.198668 shares at 0.325021","CDIV","","","$3.96"
"12/5/2024","12/5/2024","12/6/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.162954","$214.97","($250.00)"
"12/5/2024","12/5/2024","12/6/2024","","ACH Deposit","ACH","","","$250.00"
"12/5/2024","12/5/2024","12/6/2024","","ACH Deposit","ACH","","","$2,000.00"
"12/2/2024","12/2/2024","12/3/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.378384","$554.99","($210.00)"
"12/2/2024","12/2/2024","12/3/2024","","ACH Deposit","ACH","","","$210.00"
"11/29/2024","11/29/2024","12/2/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.002697","$209.44","($210.00)"
"11/29/2024","11/29/2024","12/2/2024","","ACH Deposit","ACH","","","$210.00"
"11/27/2024","11/27/2024","11/29/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$235.13","($23.51)"
"11/26/2024","11/26/2024","11/27/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$242.19","($24.22)"
"11/25/2024","11/25/2024","11/26/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.382604","$548.87","($210.00)"
"11/25/2024","11/25/2024","11/26/2024","","ACH Deposit","ACH","","","$210.00"
"11/22/2024","11/22/2024","11/25/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$208.12","($208.12)"
"11/21/2024","11/21/2024","11/22/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.008751","$208.18","($210.00)"
"11/21/2024","11/21/2024","11/22/2024","","ACH Deposit","ACH","","","$210.00"
"11/20/2024","11/20/2024","11/21/2024","MCD","McDonald's
CUSIP: 580135101","Buy","0.4","$289.33","($115.73)"
"11/20/2024","11/20/2024","11/21/2024","","ACH Deposit","ACH","","","$800.00"
"11/20/2024","11/20/2024","11/21/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.4","$539.63","($215.85)"
"11/18/2024","11/18/2024","11/19/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.388363","$540.73","($210.00)"
"11/18/2024","11/18/2024","11/19/2024","","ACH Deposit","ACH","","","$210.00"
"11/15/2024","11/15/2024","11/15/2024","COST","Cash Div: R/D 2024-11-01 P/D 2024-11-15 - 0.2 shares at 1.16","CDIV","","","$0.23"
"11/15/2024","11/15/2024","11/18/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","0.2","$89.72","($17.94)"
